observed_at,stage,host,port,protocol,decision,reason
2026-07-26T08:08:46Z,probe,127.0.0.1,19560,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19561,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19562,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19563,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19564,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19565,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19566,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19567,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19568,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19569,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19570,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19571,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19572,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19573,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19574,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19575,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19576,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19577,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19578,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19579,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19580,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19581,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19582,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19583,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19584,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19585,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19586,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19587,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19588,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19589,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19590,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19591,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19592,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19593,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19594,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19595,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19596,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19597,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19598,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19599,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19600,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19601,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19602,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19603,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19604,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19605,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19606,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19607,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19608,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19609,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19610,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19611,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19612,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19613,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19614,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19615,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19616,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19617,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19618,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19619,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19620,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19621,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19622,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19623,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19624,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19625,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19626,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19627,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19628,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19629,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19630,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19631,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19632,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19633,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19634,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19635,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19636,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19637,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19638,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19639,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19640,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19641,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19642,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19643,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19644,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19645,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19646,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19647,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19648,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19649,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19650,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19651,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19652,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19653,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19654,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19655,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19656,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19657,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19658,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19659,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19660,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19661,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19662,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19663,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19664,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19665,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19666,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19667,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19668,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19669,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19670,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19671,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19672,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19673,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19674,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19675,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19676,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19677,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19678,tcp,deny,out of scope
